t,target_mode,theme,intensity,timing,claims,confidence,reasoning,n_targets,governance,n_rejected
0,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,2
5,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.9,"Targeting hubs in a scale-free network with a hybrid theme can effectively promote cooperation by leveraging influential agents, while a periodic timing and moderate intensity minimize the risk of polarization and backlash, and factual claims with high confidence enhance credibility and persuasive power.",6,governed,3
10,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,3
15,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,3
20,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,1
25,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,3
30,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.9,"Targeting hubs in a scale-free network with a hybrid theme can effectively promote cooperation while respecting agent autonomy. The periodic timing allows for sustained influence without overwhelming the system, reducing the risk of polarization and backlash. Factual claims and high confidence enhance credibility and persuasive power.",6,governed,2
35,BRIDGES,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,3
40,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,3
45,BRIDGES,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,2
